epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4937,1.04948,2.35893,1.4886,0.48015,0.56564,0.47552,0.32068,nan,nan,nan,0.000471211,0.000471211,0.000471211
2,119.97,1.02593,1.84813,1.4511,0.43303,0.57246,0.47936,0.3057,nan,nan,nan,0.000928783,0.000928783,0.000928783
3,176.289,1.05567,1.73313,1.46703,0.68144,0.59171,0.6125,0.42427,nan,nan,nan,0.00136749,0.00136749,0.00136749
4,232.763,1.05704,1.63813,1.46954,0.68524,0.58548,0.63052,0.42649,nan,nan,nan,0.00134412,0.00134412,0.00134412
5,289.176,1.0025,1.47219,1.42029,0.6935,0.62336,0.61781,0.43702,nan,nan,nan,0.00131582,0.00131582,0.00131582
6,345.554,1.01397,1.43464,1.43584,0.64268,0.6284,0.63681,0.35415,nan,nan,nan,0.00128753,0.00128753,0.00128753
7,401.902,0.97802,1.32798,1.40256,0.61878,0.63673,0.65503,0.4631,nan,nan,nan,0.00125923,0.00125923,0.00125923
8,460.817,0.96311,1.24026,1.38734,0.69453,0.56111,0.65225,0.48797,nan,nan,nan,0.00123094,0.00123094,0.00123094
9,549.428,0.98494,1.26482,1.41125,0.6359,0.71733,0.72102,0.54651,nan,nan,nan,0.00120265,0.00120265,0.00120265
10,638.27,0.91715,1.14901,1.36123,0.76655,0.67667,0.70814,0.53904,nan,nan,nan,0.00117435,0.00117435,0.00117435
11,728.944,0.91513,1.12246,1.35301,0.80861,0.6396,0.70108,0.5315,nan,nan,nan,0.00114606,0.00114606,0.00114606
12,801.774,0.90155,1.06711,1.34604,0.88476,0.68766,0.72441,0.55611,nan,nan,nan,0.00111776,0.00111776,0.00111776
13,856.801,0.91706,1.07117,1.35924,0.84018,0.69531,0.72898,0.57436,nan,nan,nan,0.00108947,0.00108947,0.00108947
14,910.671,0.88797,1.03544,1.33602,0.81131,0.6264,0.69691,0.53744,nan,nan,nan,0.00106118,0.00106118,0.00106118
15,964.53,0.84626,1.0027,1.30333,0.90725,0.70371,0.7394,0.55743,nan,nan,nan,0.00103288,0.00103288,0.00103288
16,1018.35,0.83562,0.95807,1.30342,0.90952,0.58331,0.72634,0.55521,nan,nan,nan,0.00100459,0.00100459,0.00100459
17,1072.21,0.84435,0.97102,1.30789,0.89376,0.67302,0.71521,0.53633,nan,nan,nan,0.000976293,0.000976293,0.000976293
18,1126.04,0.83942,0.93239,1.29107,0.86804,0.70158,0.71701,0.54021,nan,nan,nan,0.000947999,0.000947999,0.000947999
19,1179.86,0.85735,0.92649,1.31545,0.93425,0.68678,0.72793,0.56183,nan,nan,nan,0.000919704,0.000919704,0.000919704
20,1233.76,0.84736,0.91719,1.29271,0.87357,0.7169,0.73968,0.59118,nan,nan,nan,0.00089141,0.00089141,0.00089141
21,1287.66,0.82495,0.87604,1.26941,0.93032,0.71256,0.74661,0.55532,nan,nan,nan,0.000863116,0.000863116,0.000863116
